Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
bmw 1-series,2008,1.6,petrol,automatic,rear,95000.0,670000,москва
bmw 5-series,2019,2.0,diesel,automatic,rear,115000.0,2650000,москва
bmw 3-series,2016,2.0,petrol,automatic,awd,130000.0,2550000,москва
bmw x7,2020,3.0,diesel,automatic,awd,79740.0,10599000,москва
bmw 3-series,2020,2.0,petrol,automatic,rear,93000.0,4100000,москва
bmw 5-series,2024,2.0,petrol,automatic,awd,22000.0,7950000,москва
bmw 4-series,2022,2.0,petrol,automatic,awd,74000.0,4690000,москва
bmw x5,2020,2.0,diesel,automatic,awd,105000.0,5900000,москва
bmw 5-series,2020,2.0,diesel,automatic,awd,55300.0,5500000,москва
bmw x6,2012,3.0,petrol,automatic,awd,173400.0,1775000,москва
bmw x5,2016,3.0,diesel,automatic,awd,231000.0,3450000,москва
bmw x5,2012,3.0,diesel,automatic,awd,158000.0,1640000,москва
bmw 5-series,2020,2.0,petrol,automatic,awd,82000.0,5300000,москва
bmw 5-series,2014,2.0,petrol,automatic,rear,241000.0,1690000,москва
bmw 5-series,2012,2.0,petrol,automatic,rear,239000.0,1390000,москва
bmw 5-series,2014,3.0,diesel,automatic,awd,263000.0,1940000,москва
bmw x6,2011,3.0,petrol,automatic,awd,233000.0,1490000,москва
bmw x5,2020,4.4,petrol,automatic,awd,21500.0,9990000,москва
bmw x6,2021,3.0,diesel,automatic,awd,21700.0,11000000,москва
bmw x7,2024,3.0,hybrid,automatic,awd,23000.0,13450000,москва
bmw m5,2021,4.4,petrol,automatic,awd,35000.0,12500000,москва
bmw 7-series,2003,4.4,petrol,automatic,rear,136000.0,745000,москва
bmw x5,2009,3.0,petrol,automatic,awd,228639.0,1879000,воронеж
bmw x1,2023,2.0,petrol,robot,awd,50680.0,5200000,домодедово
bmw 5-series,2004,2.5,petrol,automatic,rear,248000.0,670000,санкт-петербург
bmw 3-series,2007,2.5,petrol,automatic,awd,105000.0,1070000,чебоксары
bmw 5-series,2019,2.0,diesel,automatic,awd,133502.0,3500000,краснодар
bmw 5-series,2019,2.0,diesel,automatic,awd,63861.0,4495000,ростов-на-дону
bmw x3,2024,2.0,petrol,automatic,awd,30419.0,6500000,москва
bmw x5,2021,3.0,diesel,automatic,awd,38000.0,9200000,москва
bmw x5,2004,3.0,petrol,automatic,awd,420000.0,1100000,волгоград
bmw x4,2021,2.0,petrol,automatic,awd,47300.0,5700000,москва
bmw x1,2011,2.0,petrol,automatic,awd,299375.0,1179000,санкт-петербург
bmw x7,2019,3.0,diesel,automatic,awd,151400.0,6700000,тюмень
bmw 6-series,2005,4.4,petrol,automatic,rear,238804.0,999999,обнинск
bmw x7,2026,4.4,hybrid,automatic,awd,,23490000,москва
bmw x3,2019,2.0,petrol,automatic,awd,106000.0,4390000,санкт-петербург
bmw 7-series,2025,3.0,hybrid,automatic,awd,4113.0,15900000,москва
bmw x6,2016,3.0,diesel,automatic,awd,146122.0,3899000,ярославль
bmw 5-series,2013,2.0,petrol,automatic,rear,300909.0,1800000,советский
bmw 2-series,2018,2.0,diesel,automatic,awd,115708.0,3100000,санкт-петербург
bmw 5-series,2013,2.0,petrol,automatic,rear,213000.0,660000,москва
bmw 5-series,2002,3.0,petrol,automatic,rear,399000.0,2100000,таганрог
bmw 8-series,1992,5.0,petrol,automatic,rear,117000.0,7500000,москва
bmw 5-series,2021,2.0,diesel,automatic,awd,108625.0,4950000,москва
bmw x1,2016,2.0,petrol,automatic,awd,212500.0,1950000,челябинск
bmw 5-series,1997,2.8,petrol,automatic,rear,296700.0,699000,симферополь
bmw 5-series,2004,2.2,petrol,automatic,rear,407000.0,800000,орел
bmw x6,2025,3.0,petrol,automatic,awd,,15960000,санкт-петербург
bmw 5-series,2008,2.5,petrol,automatic,rear,178000.0,1350000,зеленокумск
bmw x1,2018,2.0,diesel,automatic,awd,101000.0,2850000,москва
bmw x5,2011,4.4,petrol,automatic,awd,180000.0,3333333,таганрог
bmw 5-series,2012,2.0,petrol,automatic,rear,158565.0,1750000,челябинск
bmw x1,2017,2.0,petrol,automatic,awd,75454.0,2100000,сургут
bmw 5-series,2020,2.0,petrol,automatic,awd,44000.0,5450000,москва
bmw 6-series,2019,3.0,diesel,automatic,awd,256388.0,3390000,подольск
bmw 7-series,2007,4.0,petrol,automatic,rear,325000.0,1100000,калининград
bmw x3,2012,2.0,diesel,automatic,awd,170000.0,1090000,кемерово
bmw x4,2020,2.0,diesel,automatic,awd,37422.0,5250000,москва
bmw 1-series,2021,1.5,petrol,robot,front,49000.0,1700000,новосибирск
bmw 4-series,2020,2.0,diesel,automatic,awd,95550.0,4958000,москва
bmw x6,2013,3.0,diesel,automatic,awd,195508.0,2380000,москва
bmw x5,2019,3.0,diesel,automatic,awd,113000.0,6660000,москва
bmw x6,2011,3.0,diesel,automatic,awd,247000.0,1990000,астрахань
bmw 3-series,2007,2.0,petrol,automatic,rear,202000.0,750000,воронеж
bmw 5-series,2011,2.0,diesel,automatic,rear,313000.0,1590000,санкт-петербург
bmw 5-series,2018,3.0,diesel,automatic,rear,86000.0,4900000,барнаул
bmw x1,2022,1.5,petrol,robot,front,25000.0,2050000,новосибирск
bmw x6,2012,3.0,petrol,automatic,awd,300.0,2200000,омск
bmw 5-series,2016,2.0,diesel,automatic,rear,168000.0,2150000,тула
bmw 3-series,2018,2.0,petrol,automatic,awd,136297.0,3000000,москва
bmw 5-series,2019,2.0,diesel,automatic,awd,150630.0,3280000,москва
bmw 5-series,2019,3.0,diesel,automatic,awd,103245.0,3700000,екатеринбург
bmw m3,2012,4.0,petrol,robot,rear,70000.0,10000000,москва
bmw x7,2021,3.0,hybrid,automatic,awd,80000.0,9390000,новосибирск
