title,brand,model,price,year,body_type,volume,fuel,gearbox,type
BMW X5,BMW,X5,8000000,2013,кроссовер,3.0,бензин,автомат,Б/у
BMW 535,BMW,535,10500000,2012,седан,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,1435555,1991,седан,2.8,бензин,механика,Б/у
BMW X5,BMW,X5,13500000,2014,кроссовер,3.0,бензин,автомат,Б/у
BMW 316,BMW,316,650000,1994,купе,1.6,бензин,механика,Б/у
BMW 840,BMW,840,45000000,2020,седан,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,650000,1991,седан,2.0,бензин,механика,Б/у
BMW 730,BMW,730,3400000,1994,седан,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,2400000,1989,седан,2.8,газ-бензин,механика,Б/у
BMW 525,BMW,525,1500000,1993,седан,2.5,бензин,механика,Б/у
BMW M5,BMW,M5,48000000,2019,седан,4.4,бензин,автомат,Б/у
BMW 530,BMW,530,5600000,2006,седан,3.0,бензин,автомат,Б/у
BMW 530,BMW,530,17700000,2017,седан,2.0,бензин,автомат,Б/у
BMW 318,BMW,318,2000000,1992,седан,1.8,бензин,автомат,Б/у
BMW X6,BMW,X6,9700000,2009,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,1000000,1988,седан,2.0,бензин,автомат,Б/у
BMW X6,BMW,X6,10300000,2012,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,1350000,1993,седан,2.0,бензин,автомат,Б/у
BMW X4,BMW,X4,17500000,2014,кроссовер,2.0,бензин,автомат,Б/у
BMW 745,BMW,745,3500000,2002,седан,4.4,бензин,автомат,Б/у
BMW 525,BMW,525,3500000,1999,седан,2.5,бензин,автомат,Б/у
BMW X7,BMW,X7,75000000,2023,кроссовер,4.4,бензин,автомат,Б/у
BMW 320,BMW,320,1900000,1991,седан,2.0,бензин,механика,Б/у
BMW 740,BMW,740,39900000,2021,седан,3.0,бензин,автомат,Б/у
BMW 740,BMW,740,4000000,2008,седан,4.0,газ-бензин,автомат,Б/у
BMW 520,BMW,520,1000000,1984,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,47100000,2023,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,6000000,2003,кроссовер,3.0,бензин,автомат,Б/у
BMW 540,BMW,540,37999999,2017,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,18000000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,2900000,2000,седан,2.5,бензин,механика,Б/у
BMW 530,BMW,530,25500000,2020,седан,2.0,бензин,автомат,Б/у
BMW X3,BMW,X3,12000000,2014,кроссовер,2.0,бензин,автомат,Б/у
BMW 535,BMW,535,7200000,2014,седан,3.0,бензин,автомат,Б/у
BMW X3,BMW,X3,22800000,2022,кроссовер,2.0,бензин,автомат,Б/у
BMW 318,BMW,318,1100000,1991,седан,1.8,бензин,механика,Б/у
BMW X7,BMW,X7,68000000,2023,кроссовер,4.4,бензин,автомат,Б/у
BMW X5,BMW,X5,14000000,2014,кроссовер,3.0,бензин,автомат,Б/у
BMW 5 серия,BMW,5 серия,26000000,2023,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,36000000,2025,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,5900000,2004,кроссовер,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,2500000,1997,седан,2.8,бензин,автомат,Б/у
BMW 530,BMW,530,16850000,2017,седан,2.0,бензин,автомат,Б/у
BMW 530,BMW,530,38000000,2023,седан,2.0,бензин,автомат,Б/у
BMW 530,BMW,530,6500000,2003,седан,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,2200000,1997,седан,2.5,бензин,механика,Б/у
BMW 316,BMW,316,4000000,1990,купе,1.6,бензин,механика,Б/у
BMW 530,BMW,530,2700000,1992,седан,3.0,бензин,механика,Б/у
BMW 320,BMW,320,3800000,2002,седан,2.0,бензин,механика,Б/у
BMW 750,BMW,750,5500000,1996,седан,5.4,бензин,автомат,Б/у
BMW 325,BMW,325,1500000,1996,седан,2.5,бензин,механика,Б/у
BMW 530,BMW,530,17300000,2017,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,5000000,2000,кроссовер,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,2200000,1996,седан,2.0,бензин,механика,Б/у
BMW 520,BMW,520,2000000,1997,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,5500000,2002,кроссовер,3.0,бензин,автомат,Б/у
BMW X6,BMW,X6,9000000,2008,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,4999999,2001,кроссовер,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,12000000,2014,седан,2.0,бензин,автомат,Б/у
BMW 328,BMW,328,1300000,1995,седан,2.8,бензин,механика,Б/у
BMW 318,BMW,318,1100000,1992,седан,1.8,бензин,механика,Б/у
BMW X5,BMW,X5,4300000,2003,кроссовер,3.0,бензин,автомат,Б/у
BMW 328,BMW,328,4270000,1999,седан,2.8,бензин,автомат,Б/у
BMW 520,BMW,520,1100000,1991,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,8100000,2007,кроссовер,4.8,бензин,автомат,Б/у
BMW 525,BMW,525,2900000,2001,седан,2.5,бензин,автомат,Б/у
BMW 520,BMW,520,2000000,1994,седан,1.8,бензин,механика,Б/у
BMW 525,BMW,525,1000000,1991,седан,2.5,бензин,механика,Б/у
BMW 730,BMW,730,5800000,2006,седан,3.0,бензин,автомат,Б/у
BMW 218,BMW,218,20000000,2023,седан,1.5,бензин,робот,Б/у
BMW 325,BMW,325,1800000,1991,седан,2.5,бензин,механика,Б/у
BMW 520,BMW,520,1200000,1993,седан,2.0,бензин,механика,Б/у
BMW 320,BMW,320,1600000,1992,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,20000000,2013,кроссовер,4.4,бензин,автомат,Б/у
BMW 330,BMW,330,9000000,2015,седан,2.0,бензин,автомат,Б/у
BMW 520,BMW,520,1800000,1990,седан,2.0,бензин,механика,Б/у
BMW 525,BMW,525,1100000,1995,универсал,2.5,бензин,автомат,Б/у
BMW 528,BMW,528,7200000,2010,седан,3.0,бензин,автомат,Б/у
BMW X6,BMW,X6,45000000,2021,кроссовер,3.0,бензин,автомат,Б/у
BMW 330,BMW,330,3000000,1995,купе,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,10500000,2013,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,1000000,1992,седан,2.5,бензин,автомат,Б/у
BMW 528,BMW,528,2250000,1996,седан,2.8,бензин,механика,Б/у
BMW X5,BMW,X5,12879750,2017,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,6000000,2001,кроссовер,4.6,бензин,автомат,Б/у
BMW 320,BMW,320,3000000,1999,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,5200000,2002,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,4500000,2001,кроссовер,3.0,бензин,автомат,Б/у
BMW 530,BMW,530,2500000,1999,седан,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,10500000,2014,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,8000000,2007,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,2200000,1992,седан,2.0,бензин,автомат,Б/у
BMW 530,BMW,530,24000000,2021,седан,2.0,бензин,автомат,Б/у
BMW 330,BMW,330,3400000,2001,седан,3.0,бензин,автомат,Б/у
BMW 320,BMW,320,900000,1992,седан,2.0,бензин,механика,Б/у
BMW 730,BMW,730,1350000,1991,седан,3.0,бензин,механика,Б/у
BMW 528,BMW,528,2100000,1996,седан,2.8,бензин,автомат,Б/у
BMW M5,BMW,M5,66000000,2023,седан,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,3500000,1995,седан,2.0,бензин,механика,Б/у
BMW 520,BMW,520,1650000,1992,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,7999999,2008,кроссовер,4.8,бензин,автомат,Б/у
BMW X5,BMW,X5,30500000,2019,кроссовер,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,7500000,2009,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,18800000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW 730,BMW,730,3000000,1995,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,17500000,2017,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,800000,1990,седан,2.0,бензин,механика,Б/у
BMW 330,BMW,330,1450000,1994,седан,2.0,бензин,механика,Б/у
BMW 520,BMW,520,2700000,1997,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,1750000,1994,седан,2.5,бензин,механика,Б/у
BMW 520,BMW,520,900000,1992,седан,2.0,бензин,механика,Б/у
BMW 520,BMW,520,2700000,1998,седан,2.5,бензин,механика,Б/у
BMW 525,BMW,525,1600000,1992,седан,2.5,бензин,механика,Б/у
BMW 728,BMW,728,3500000,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,BMW,520,12000000,2014,седан,2.0,бензин,автомат,Б/у
BMW 528,BMW,528,3200000,1997,седан,2.8,бензин,автомат,Б/у
BMW 740,BMW,740,5500000,1999,седан,4.4,бензин,автомат,Б/у
BMW 325,BMW,325,1150000,1991,седан,2.5,бензин,механика,Б/у
BMW 730,BMW,730,1500000,1993,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,41500000,2021,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,19900000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,550000,1993,седан,2.0,бензин,механика,Б/у
BMW 525,BMW,525,1100000,1991,седан,2.5,бензин,механика,Б/у
BMW 730,BMW,730,21800000,2017,седан,2.0,бензин,автомат,Б/у
BMW X5 M,BMW,X5 M,27500000,2015,кроссовер,4.4,бензин,робот,Б/у
BMW 540,BMW,540,22000000,2017,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,28000000,2018,кроссовер,3.0,бензин,автомат,Б/у
BMW 330,BMW,330,9500000,2007,кабриолет,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,1800000,1994,седан,2.5,бензин,автомат,Б/у
BMW X5,BMW,X5,7500000,2008,кроссовер,4.8,бензин,автомат,Б/у
BMW 528,BMW,528,3000000,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,BMW,520,400000,1992,седан,2.0,бензин,механика,Б/у
BMW 318,BMW,318,999999,1995,седан,1.8,бензин,механика,Б/у
BMW 528,BMW,528,3300000,1997,седан,2.8,бензин,автомат,Б/у
BMW 530,BMW,530,16500000,2018,седан,2.0,бензин,автомат,Б/у
BMW 328,BMW,328,2000000,1991,седан,2.8,бензин,механика,Б/у
BMW 520,BMW,520,1250000,1995,седан,2.0,бензин,механика,Б/у
BMW X7,BMW,X7,75000000,2024,кроссовер,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,4547500,2006,седан,2.5,бензин,автомат,Б/у
BMW 520,BMW,520,18000000,2018,седан,2.0,бензин,автомат,Б/у
BMW 540,BMW,540,20500000,2019,седан,3.0,бензин,автомат,Б/у
BMW 728,BMW,728,2700000,1996,седан,2.8,бензин,автомат,Б/у
BMW X7,BMW,X7,36000000,2020,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,68000000,2025,кроссовер,3.0,бензин,автомат,Б/у
BMW 728,BMW,728,700000,1996,седан,2.8,бензин,автомат,Б/у
BMW 518,BMW,518,900000,1994,седан,1.8,бензин,механика,Б/у
BMW 740,BMW,740,4000000,1994,седан,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,1900000,1994,седан,2.0,бензин,механика,Б/у
BMW 318,BMW,318,2200000,1998,седан,1.9,бензин,механика,Б/у
BMW 760,BMW,760,10000000,2009,седан,6.0,бензин,автомат,Б/у
BMW X5,BMW,X5,20000000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,31000000,2018,кроссовер,3.0,бензин,автомат,Б/у
BMW 228,BMW,228,19500000,2020,седан,2.0,бензин,автомат,Б/у
BMW 530,BMW,530,29800000,2022,седан,2.0,бензин,автомат,Б/у
BMW 323,BMW,323,3000000,1999,седан,2.5,бензин,автомат,Б/у
BMW X6,BMW,X6,17500000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW 325,BMW,325,3200000,1998,седан,2.5,бензин,автомат,Б/у
BMW 318,BMW,318,900000,1994,седан,1.8,бензин,механика,Б/у
BMW 528,BMW,528,2000000,1984,седан,2.8,бензин,механика,Б/у
BMW 328,BMW,328,2000000,1996,седан,2.8,бензин,автомат,Б/у
BMW 530,BMW,530,5000000,2002,седан,3.0,бензин,автомат,Б/у
BMW 728,BMW,728,2350000,1995,седан,2.8,бензин,автомат,Б/у
BMW 530,BMW,530,3144999,2003,седан,3.0,бензин,автомат,Б/у
BMW 740,BMW,740,24999999,2019,седан,3.0,бензин,автомат,Б/у
BMW 318,BMW,318,1700000,1993,седан,1.8,бензин,механика,Б/у
BMW 328,BMW,328,5300000,2011,седан,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,1900000,1993,седан,2.5,бензин,автомат,Б/у
BMW 528,BMW,528,7500000,2015,седан,2.0,бензин,автомат,Б/у
BMW 440,BMW,440,37000000,2024,лифтбек,3.0,бензин,автомат,Б/у
BMW 740,BMW,740,61000000,2023,седан,3.0,бензин,автомат,Б/у
BMW 328,BMW,328,3600000,1998,седан,2.8,бензин,автомат,Б/у
BMW 550,BMW,550,25000000,2018,седан,4.4,бензин,автомат,Б/у
BMW 525,BMW,525,2500000,1994,седан,2.5,бензин,автомат,Б/у
BMW 528,BMW,528,7800000,2010,седан,3.0,бензин,автомат,Б/у
BMW 320,BMW,320,1500000,1996,седан,2.0,бензин,механика,Б/у
BMW 530,BMW,530,6000000,2004,седан,3.0,бензин,автомат,Б/у
BMW 320,BMW,320,7500000,2015,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,800000,1993,седан,2.5,бензин,механика,Б/у
BMW X7,BMW,X7,55000000,2023,кроссовер,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,3000000,1993,седан,2.5,бензин,механика,Б/у
BMW X7,BMW,X7,50000000,2021,кроссовер,3.0,бензин,автомат,Б/у
BMW 730,BMW,730,600000,1992,седан,3.0,бензин,механика,Б/у
BMW 535,BMW,535,5500000,2000,седан,3.5,бензин,автомат,Б/у
BMW X5,BMW,X5,16500000,2014,кроссовер,3.0,бензин,автомат,Б/у
BMW 435,BMW,435,15000000,2015,купе,3.0,бензин,автомат,Б/у
BMW X7,BMW,X7,38000000,2021,кроссовер,3.0,бензин,автомат,Б/у
BMW 728,BMW,728,4200000,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,BMW,X5,9000000,2008,кроссовер,3.0,дизель,автомат,Б/у
BMW 525,BMW,525,1400000,1991,седан,2.5,бензин,механика,Б/у
BMW 535,BMW,535,15000000,2016,седан,3.0,бензин,автомат,Б/у
BMW X6,BMW,X6,17500000,2013,кроссовер,4.4,бензин,автомат,Б/у
BMW 325,BMW,325,1100000,1991,седан,2.5,бензин,механика,Б/у
BMW 218,BMW,218,22000000,2023,седан,1.5,бензин,робот,Б/у
BMW 318,BMW,318,950000,1994,седан,1.8,бензин,механика,Б/у
BMW X5,BMW,X5,10000000,2007,кроссовер,3.0,бензин,автомат,Б/у
BMW 535,BMW,535,7800000,2014,седан,3.0,бензин,автомат,Б/у
BMW 320,BMW,320,10500000,2013,седан,2.0,бензин,автомат,Б/у
BMW 523,BMW,523,4000000,1997,седан,2.5,бензин,автомат,Б/у
BMW X5,BMW,X5,6700000,2006,кроссовер,4.4,бензин,автомат,Б/у
BMW 530,BMW,530,6100000,2003,седан,3.0,бензин,автомат,Б/у
BMW 728,BMW,728,2800000,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,BMW,520,2570000,1992,седан,2.0,бензин,механика,Б/у
BMW 530,BMW,530,6500000,2007,седан,3.0,бензин,автомат,Б/у
BMW 535,BMW,535,9100000,2013,седан,3.0,бензин,автомат,Б/у
BMW X3,BMW,X3,5650000,2006,кроссовер,2.5,бензин,автомат,Б/у
BMW X7,BMW,X7,55000000,2020,кроссовер,4.4,бензин,автомат,Б/у
BMW X5,BMW,X5,39000000,2022,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,4750000,2001,кроссовер,3.0,бензин,автомат,Б/у
BMW 535,BMW,535,11800000,2013,седан,3.0,бензин,автомат,Б/у
BMW 320,BMW,320,9657142,2015,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,2500000,1993,седан,2.5,бензин,автомат,Б/у
BMW 850,BMW,850,75000000,1993,купе,5.0,бензин,механика,Б/у
BMW 525,BMW,525,2900000,1996,седан,2.5,бензин,автомат,Б/у
BMW 730,BMW,730,850000,1991,седан,3.0,бензин,автомат,Б/у
BMW 535,BMW,535,8650000,2016,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,6500000,2007,кроссовер,4.8,бензин,автомат,Б/у
BMW X6,BMW,X6,9300000,2009,кроссовер,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,1650000,1993,седан,2.5,дизель,механика,Б/у
BMW 525,BMW,525,1500000,1992,седан,2.5,бензин,механика,Б/у
BMW X5,BMW,X5,14500000,2014,кроссовер,3.0,бензин,автомат,Б/у
BMW 750,BMW,750,29900000,2017,седан,4.4,бензин,автомат,Б/у
BMW X5,BMW,X5,7500000,2003,кроссовер,4.4,бензин,автомат,Б/у
BMW X5,BMW,X5,10400000,2011,кроссовер,3.0,бензин,автомат,Б/у
BMW 328,BMW,328,2350000,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,BMW,X5,67000000,2024,кроссовер,3.0,гибрид,автомат,Б/у
BMW 735,BMW,735,3000000,2002,седан,3.6,бензин,автомат,Б/у
BMW 525,BMW,525,1800000,1995,седан,2.5,бензин,автомат,Б/у
BMW 530,BMW,530,6000000,2006,седан,3.0,бензин,автомат,Б/у
BMW 730,BMW,730,2000000,1995,седан,3.0,бензин,механика,Б/у
BMW 520,BMW,520,800000,1991,седан,2.0,бензин,механика,Б/у
BMW 320,BMW,320,4000000,2001,седан,2.2,бензин,автомат,Б/у
BMW X5,BMW,X5,8300000,2007,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,2200000,1991,седан,2.0,бензин,механика,Б/у
BMW 540,BMW,540,21000000,2018,седан,3.0,бензин,автомат,Б/у
BMW 325,BMW,325,3800000,2004,седан,2.5,бензин,автомат,Б/у
BMW 525,BMW,525,850000,1991,седан,2.5,бензин,механика,Б/у
BMW 430,BMW,430,14500000,2017,лифтбек,2.0,бензин,автомат,Б/у
BMW 323,BMW,323,2300000,1996,седан,2.5,бензин,механика,Б/у
BMW 330,BMW,330,2700000,2002,седан,3.0,бензин,механика,Б/у
BMW X6,BMW,X6,10500000,2010,кроссовер,3.0,бензин,автомат,Б/у
BMW 325,BMW,325,6000000,2006,седан,2.5,бензин,автомат,Б/у
BMW X5,BMW,X5,15500000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW X6,BMW,X6,19500000,2018,кроссовер,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,10500000,2015,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,38000000,2024,кроссовер,3.0,бензин,автомат,Б/у
