Title,Year,Engine,Fuel,Transmission,Drive,Mileage,Price,Location
BMW X5,2007,3.0 л (272 л.с.),бензин,АКПП,4WD,191 000 км,1 300 000,Кемерово
BMW X4,2021,3.0 л (249 л.с.),дизель,АКПП,4WD,122 500 км,5 050 000,Москва
BMW 7-Series,2001,4.4 л (333 л.с.),бензин,АКПП,задний,356 000 км,700 000,Шилка
BMW 3-Series,2019,2.0 л (190 л.с.),дизель,АКПП,задний,120 935 км,2 899 000,Тюмень
BMW X1,2014,2.0 л (150 л.с.),бензин,АКПП,задний,147 538 км,1 429 000,Тюмень
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,6 990 000,Санкт-Петербург
BMW 3-Series,2016,1.5 л (136 л.с.),бензин,АКПП,задний,82 000 км,1 750 000,Владивосток
BMW X5,2002,3.0 л (231 л.с.),бензин,АКПП,4WD,260 000 км,800 000,Магнитогорск
BMW X4,2015,2.0 л (184 л.с.),бензин,АКПП,4WD,154 117 км,2 639 000,Уфа
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,7 600 000,Москва
BMW X4,2024,2.0 л (184 л.с.),бензин,АКПП,4WD,N/A,8 190 000,Москва
BMW 3-Series,2014,2.0 л (184 л.с.),бензин,АКПП,задний,222 500 км,1 775 000,Москва
BMW X3,2023,2.0 л (252 л.с.),бензин,АКПП,4WD,52 000 км,5 250 000,Ростов-на-Дону
BMW X5,2020,3.0 л (340 л.с.),бензин,АКПП,4WD,75 000 км,6 900 000,Пятигорск
BMW 6-Series Gran Turismo,2018,2.0 л (190 л.с.),дизель,АКПП,4WD,130 000 км,3 700 000,Санкт-Петербург
BMW X5,2001,4.4 л (286 л.с.),бензин,АКПП,4WD,350 000 км,750 000,Пронск
BMW 5-Series,2010,3.0 л (258 л.с.),бензин,АКПП,задний,268 228 км,1 300 000,Каспийск
BMW 3-Series,2009,2.5 л (218 л.с.),бензин,АКПП,задний,122 800 км,1 990 000,Краснодар
BMW 7-Series,2002,3.6 л (272 л.с.),бензин,АКПП,задний,330 000 км,395 000,Москва
BMW 5-Series,2017,3.0 л (249 л.с.),дизель,АКПП,4WD,216 800 км,3 650 000,Рязань
BMW X6,2015,3.0 л (249 л.с.),дизель,АКПП,4WD,137 500 км,3 950 000,Красноярск
BMW X5,2014,3.0 л (313 л.с.),дизель,АКПП,4WD,71 000 км,4 150 000,Красноярск
BMW 5-Series,2011,3.0 л (258 л.с.),дизель,АКПП,4WD,220 000 км,1 800 000,Новосибирск
BMW X3,2004,3.0 л (231 л.с.),бензин,АКПП,4WD,384 000 км,775 000,Тогучин
BMW X3,2013,2.0 л (245 л.с.),бензин,АКПП,4WD,177 000 км,2 000 000,Тюмень
BMW X5,2001,3.0 л (231 л.с.),бензин,АКПП,4WD,200 000 км,799 000,Новосибирск
BMW X7,2020,3.0 л (249 л.с.),дизель,АКПП,4WD,155 158 км,6 049 888,Нижний Новгород
BMW 8-Series,2019,3.0 л (320 л.с.),дизель,АКПП,4WD,58 506 км,7 349 000,Санкт-Петербург
BMW X5,2007,3.0 л (272 л.с.),бензин,АКПП,4WD,200 км,1 300 000,Улан-Удэ
BMW X6,2011,4.4 л (555 л.с.),бензин,АКПП,4WD,118 000 км,1 650 000,Хабаровск
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,27 км,7 500 000,Москва
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,7 450 000,Москва
BMW X4,2024,2.0 л (184 л.с.),бензин,АКПП,4WD,N/A,8 190 000,Москва
BMW 3-Series,2014,1.6 л (136 л.с.),бензин,АКПП,задний,285 000 км,1 199 990,Ростов-на-Дону
BMW X5,2020,3.0 л (286 л.с.),гибрид,АКПП,4WD,143 500 км,5 900 000,Москва
BMW X3,2019,2.0 л (184 л.с.),бензин,АКПП,4WD,95 292 км,4 527 000,Новосибирск
BMW X7,2020,3.0 л (340 л.с.),гибрид,АКПП,4WD,110 675 км,9 000 000,Пермь
BMW X5,2021,3.0 л (286 л.с.),гибрид,АКПП,4WD,112 000 км,6 150 000,Артём
BMW X7,2025,3.0 л (381 л.с.),гибрид,АКПП,4WD,50 км,16 250 000,Ростов-на-Дону
BMW 3-Series,1998,3.0 л (235 л.с.),бензин,механика,задний,450 000 км,320 000,Омск
BMW X3,2015,2.0 л (190 л.с.),дизель,АКПП,4WD,178 000 км,2 145 000,Санкт-Петербург
BMW X6,2009,3.0 л (306 л.с.),бензин,АКПП,4WD,270 000 км,1 600 000,Темрюк
BMW X1,2025,2.0 л (204 л.с.),бензин,робот,4WD,N/A,5 950 000,Москва
BMW X1,2025,2.0 л (204 л.с.),бензин,робот,4WD,N/A,5 900 000,Москва
BMW X1,2025,2.0 л (300 л.с.),бензин,робот,4WD,N/A,6 890 000,Москва
BMW X1,2025,2.0 л (300 л.с.),гибрид,робот,4WD,N/A,6 990 000,Москва
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,6 990 000,Москва
BMW X1,2025,2.0 л (300 л.с.),гибрид,робот,4WD,N/A,6 540 000,Москва
BMW X1,2025,2.0 л (300 л.с.),гибрид,робот,4WD,N/A,7 090 000,Москва
BMW X1,2025,2.0 л (204 л.с.),бензин,робот,4WD,N/A,5 890 000,Москва
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,7 090 000,Москва
BMW X1,2025,2.0 л (204 л.с.),бензин,робот,4WD,N/A,6 350 000,Москва
BMW X1,2025,2.0 л (300 л.с.),гибрид,робот,4WD,N/A,6 890 000,Москва
BMW X1,2010,3.0 л (218 л.с.),бензин,АКПП,4WD,207 000 км,1 299 000,Сургут
BMW 4-Series,2021,3.0 л (387 л.с.),бензин,АКПП,4WD,70 000 км,6 600 000,Новосибирск
BMW 5-Series,2004,2.2 л (170 л.с.),бензин,АКПП,задний,310 000 км,750 000,Юрьев-Польский
BMW X3,2025,2.0 л (258 л.с.),бензин,АКПП,4WD,N/A,7 499 000,Красноярск
BMW 5-Series,2012,2.0 л (184 л.с.),бензин,АКПП,задний,94 967 км,2 135 000,Чебоксары
BMW 5-Series,2015,2.0 л (184 л.с.),бензин,АКПП,задний,193 000 км,1 950 000,Тольятти
BMW 1-Series,2008,3.0 л (218 л.с.),бензин,АКПП,задний,252 800 км,1 550 000,Симферополь
BMW X6,2016,3.0 л (249 л.с.),дизель,АКПП,4WD,272 000 км,3 300 000,Москва
BMW 3-Series,2008,2.5 л (218 л.с.),бензин,АКПП,задний,250 000 км,830 000,Томск
BMW X5,2025,3.0 л (352 л.с.),дизель,АКПП,4WD,6 351 км,15 895 000,Новосибирск
BMW X5,2014,3.0 л (313 л.с.),дизель,АКПП,4WD,301 000 км,2 690 000,Киров
BMW 5-Series,2005,2.5 л (177 л.с.),бензин,механика,задний,60 000 км,987 000,Краснодар
BMW X5,2017,3.0 л (218 л.с.),дизель,АКПП,4WD,198 000 км,3 279 000,Москва
BMW X5,2001,4.4 л (286 л.с.),бензин,АКПП,4WD,350 000 км,650 000,Пушкино
BMW 5-Series,2020,2.0 л (190 л.с.),дизель,АКПП,4WD,131 124 км,3 699 000,Тюмень
BMW X3,2009,2.0 л (177 л.с.),дизель,АКПП,4WD,311 000 км,575 000,Екатеринбург
BMW 3-Series,2020,2.0 л (258 л.с.),бензин,АКПП,задний,149 000 км,3 150 000,Грозный
BMW 3-Series,2003,2.2 л (170 л.с.),бензин,АКПП,задний,270 000 км,590 000,Симферополь
BMW 3-Series,2001,2.2 л (170 л.с.),бензин,АКПП,задний,324 700 км,590 000,Екатеринбург
BMW X6,2019,3.0 л (249 л.с.),дизель,АКПП,4WD,172 592 км,4 250 000,Москва
BMW 5-Series,2019,3.0 л (340 л.с.),бензин,АКПП,задний,117 000 км,3 850 000,Краснодар
BMW 3-Series,2015,2.0 л (184 л.с.),бензин,АКПП,4WD,205 000 км,1 920 000,Калининград
