title,price,year,body_type,volume,fuel,gearbox,type
BMW X5,8 000 000 ₸,2013,кроссовер,3,бензин,автомат,Б/у
BMW 535,10 500 000 ₸,2012,седан,3,бензин,автомат,Б/у
BMW 528,1 435 555 ₸,1991,седан,2.8,бензин,механика,Б/у
BMW X6,27 100 000 ₸,На заказ,г.,Б/у кроссовер,3 л,бензин,2022
BMW X5,13 500 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 316,650 000 ₸,1994,купе,1.6,бензин,механика,Б/у
BMW 840,45 000 000 ₸,2020,седан,3,бензин,автомат,Б/у
BMW 520,650 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 730,3 400 000 ₸,1994,седан,3,бензин,автомат,Б/у
BMW 528,2 400 000 ₸,1989,седан,2.8,газ-бензин,механика,Б/у
BMW 525,1 500 000 ₸,1993,седан,2.5,бензин,механика,Б/у
BMW M5,48 000 000 ₸,2019,седан,4.4,бензин,автомат,Б/у
BMW 530,5 600 000 ₸,2006,седан,3,бензин,автомат,Б/у
BMW 530,17 700 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW 318,2 000 000 ₸,1992,седан,1.8,бензин,автомат,Б/у
BMW X6,9 700 000 ₸,2009,кроссовер,3,бензин,автомат,Б/у
BMW 520,1 000 000 ₸,1988,седан,2,бензин,автомат,Б/у
BMW X6,10 300 000 ₸,2012,кроссовер,3,бензин,автомат,Б/у
BMW 520,1 350 000 ₸,1993,седан,2,бензин,автомат,Б/у
BMW X4,17 500 000 ₸,2014,кроссовер,2,бензин,автомат,Б/у
BMW 745,3 500 000 ₸,2002,седан,4.4,бензин,автомат,Б/у
BMW 525,3 500 000 ₸,1999,седан,2.5,бензин,автомат,Б/у
BMW X7,75 000 000 ₸,2023,кроссовер,4.4,бензин,автомат,Б/у
BMW 320,1 900 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 740,39 900 000 ₸,2021,седан,3,бензин,автомат,Б/у
BMW 740,4 000 000 ₸,2008,седан,4,газ-бензин,автомат,Б/у
BMW 520,1 000 000 ₸,1984,седан,2,бензин,механика,Б/у
BMW X5,47 100 000 ₸,2023,кроссовер,3,бензин,автомат,Б/у
BMW X5,6 000 000 ₸,2003,кроссовер,3,бензин,автомат,Б/у
BMW 540,37 999 999 ₸,2017,седан,3,бензин,автомат,Б/у
BMW 323,1 800 000 ₸,1991,седан,2.5,бензин,Правый руль,Б/у
BMW X5,18 000 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 525,2 900 000 ₸,2000,седан,2.5,бензин,механика,Б/у
BMW 530,25 500 000 ₸,2020,седан,2,бензин,автомат,Б/у
BMW X3,12 000 000 ₸,2014,кроссовер,2,бензин,автомат,Б/у
BMW 535,7 200 000 ₸,2014,седан,3,бензин,автомат,Б/у
BMW X3,22 800 000 ₸,2022,кроссовер,2,бензин,автомат,Б/у
BMW 318,1 100 000 ₸,1991,седан,1.8,бензин,механика,Б/у
BMW X7,68 000 000 ₸,2023,кроссовер,4.4,бензин,автомат,Б/у
BMW X5,14 000 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 5 серия,26 000 000 ₸,2023,седан,2,бензин,автомат,Б/у
BMW 525,36 000 000 ₸,2025,седан,2,бензин,автомат,Б/у
BMW X5,5 900 000 ₸,2004,кроссовер,3,бензин,автомат,Б/у
BMW 528,2 500 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 530,16 850 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW 320,3 350 000 ₸,На заказ,г.,Б/у седан,2.2 л,бензин,2000
BMW 530,38 000 000 ₸,2023,седан,2,бензин,автомат,Б/у
BMW 530,6 500 000 ₸,2003,седан,3,бензин,автомат,Б/у
BMW 525,2 200 000 ₸,1997,седан,2.5,бензин,механика,Б/у
BMW 316,4 000 000 ₸,1990,купе,1.6,бензин,механика,Б/у
BMW 530,2 700 000 ₸,1992,седан,3,бензин,механика,Б/у
BMW 320,3 800 000 ₸,2002,седан,2,бензин,механика,Б/у
BMW 750,5 500 000 ₸,1996,седан,5.4,бензин,автомат,Б/у
